date,time,tank,o2_do_mg_l
2022-06-21,05:30:00,1,1.79
2022-06-21,06:30:00,1,0.88
2022-06-21,07:30:00,1,0.6
2022-06-21,08:30:00,1,1.04
2022-06-21,11:00:00,1,8.6
2022-06-21,14:00:00,1,10.5
2022-06-21,16:00:00,1,12.8
2022-06-21,17:15:00,1,12.4
2022-06-21,18:36:00,1,11.3
2022-06-21,19:47:00,1,10.2
2022-06-21,20:45:00,1,8.6
2022-06-22,05:00:00,1,6
2022-06-22,06:15:00,1,6.3
2022-06-22,07:30:00,1,6.5
2022-06-22,11:00:00,1,10.28
2022-06-27,05:31:00,1,4.6
2022-06-27,06:30:00,1,4.7
2022-06-27,07:56:00,1,5.4
2022-06-27,11:00:00,1,9.1
2022-06-27,14:30:00,1,14.1
2022-06-27,15:45:00,1,14.8
2022-06-27,17:37:00,1,12.8
2022-06-28,05:30:00,1,4.4
2022-06-28,06:45:00,1,5
